,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Muros,40,ES,1574567295,93,42.77,-9.06,53.01,5.82
1,Codrington,33,AU,1574567297,37,-28.95,153.24,87.8,19.46
2,Provideniya,0,RU,1574567297,80,64.42,-173.23,3.16,5.41
3,Aquiraz,75,BR,1574567297,78,-3.9,-38.39,86.0,8.05
4,Sioux Lookout,90,CA,1574567298,86,50.1,-91.92,33.8,6.93
5,San Patricio,0,PY,1574567298,72,-26.98,-56.83,69.64,10.56
6,Umm Lajj,0,SA,1574567299,49,25.02,37.27,63.75,1.48
7,Leningradskiy,96,RU,1574567299,97,69.38,178.42,-6.2,16.44
8,Ovalle,0,CL,1574567300,92,-30.6,-71.2,48.81,0.78
9,Reus,0,ES,1574567300,54,41.16,1.11,55.0,23.04
10,Bose,90,IT,1574567301,100,45.46,8.01,52.0,13.87
11,Esperance,67,AU,1574567301,53,-33.86,121.89,71.6,13.87
12,Susanville,1,US,1574567302,78,40.42,-120.65,33.01,5.82
13,Punta Arenas,75,CL,1574567302,81,-53.16,-70.91,50.0,11.41
14,Bluff,0,AU,1574567302,25,-23.58,149.07,90.82,11.05
15,Kapaa,90,US,1574567227,74,22.08,-159.32,86.0,21.92
16,Dikson,100,RU,1574567303,94,73.51,80.55,-0.11,14.5
17,Saint-Joseph,75,FR,1574567304,87,43.56,6.97,53.6,6.93
18,Busselton,100,AU,1574567305,29,-33.64,115.35,80.01,9.15
19,Rikitea,80,PF,1574567305,65,-23.12,-134.97,71.91,7.54
20,Farafangana,31,MG,1574567305,65,-22.82,47.83,76.06,10.96
21,Poli,3,CM,1574567306,37,8.48,13.24,72.52,1.97
22,Saint-Philippe,1,CA,1574567307,69,45.36,-73.48,33.8,4.7
23,Yellowknife,90,CA,1574567307,92,62.45,-114.38,17.6,11.41
24,Mataura,90,NZ,1574567308,63,-46.19,168.86,59.0,23.0
25,Padang,100,ID,1574567308,91,-0.92,100.36,70.97,2.44
26,Ponta Do Sol,100,BR,1574567308,90,-20.63,-46.0,67.35,0.85
27,Lavrentiya,23,RU,1574567309,79,65.58,-170.99,10.11,17.47
28,Conde,24,BR,1574567085,81,-11.81,-37.61,79.02,20.18
29,Porto Novo,75,BR,1574567310,88,-23.68,-45.44,66.2,2.24
30,Victoria,75,BN,1574567185,70,5.28,115.24,86.0,2.24
31,Ahipara,3,NZ,1574567311,63,-35.17,173.16,79.0,22.12
32,Diu,0,IN,1574567311,63,20.71,70.98,80.19,16.26
33,Hobyo,84,SO,1574567312,81,5.35,48.53,78.8,16.15
34,Barrow,0,AR,1574567312,63,-38.31,-60.23,52.25,15.01
35,Kloulklubed,75,PW,1574567313,66,7.04,134.26,87.8,5.82
36,Hithadhoo,24,MV,1574567313,80,-0.6,73.08,82.74,14.81
37,Lorengau,57,PG,1574567314,74,-2.02,147.27,82.89,13.22
38,Huarmey,100,PE,1574567314,80,-10.07,-78.15,63.01,2.39
39,Mar Del Plata,100,AR,1574567315,56,-46.43,-67.52,65.37,6.31
40,Albany,1,US,1574567147,86,42.65,-73.75,36.0,5.82
41,Coihaique,79,CL,1574567315,71,-45.58,-72.07,55.4,8.05
42,Hermanus,0,ZA,1574567316,83,-34.42,19.24,60.01,3.0
43,Hobart,75,AU,1574567102,30,-42.88,147.33,71.01,14.99
44,Richards Bay,100,ZA,1574567317,92,-28.77,32.06,73.58,26.06
45,Port Shepstone,90,ZA,1574567318,95,-30.74,30.45,66.52,4.41
46,Morondava,33,MG,1574567318,73,-20.3,44.28,78.39,1.41
47,Kruisfontein,15,ZA,1574567318,88,-34.0,24.73,54.84,4.23
48,Springbok,0,ZA,1574567271,73,-29.67,17.88,43.27,1.77
49,Semirom,14,IR,1574567320,49,31.41,51.57,21.52,2.51
50,Airai,0,TL,1574567320,29,-8.93,125.41,88.0,7.96
51,Luderitz,0,NA,1574567321,74,-26.65,15.16,59.97,27.94
52,Narsaq,51,GL,1574567321,53,60.91,-46.05,23.0,6.76
53,Paka,100,CF,1574567322,80,4.15,15.03,67.68,1.1
54,Ribeira Grande,100,PT,1574567322,91,38.52,-28.7,64.11,14.85
55,Tautira,75,PF,1574567323,66,-17.73,-149.15,84.2,4.7
56,Pisco,90,PE,1574567323,88,-13.71,-76.2,68.0,14.99
57,Chokurdakh,80,RU,1574567324,99,70.62,147.9,-25.47,9.26
58,Castro,40,CL,1574567324,100,-42.48,-73.76,50.0,9.17
59,Thompson,90,CA,1574567324,92,55.74,-97.86,21.2,5.82
60,Alta Floresta,78,BR,1574567325,98,-9.87,-56.08,70.84,4.14
